left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
65.000000,17.000000,66.057022,17.357349,1.057023,0.357349,-0.001071,-0.001060,0.006860,0.008171
68.000000,17.000000,69.072266,17.231091,1.072269,0.231091,-0.000322,-0.001227,0.006616,0.007590
71.000000,17.000000,72.074547,17.113098,1.074546,0.113098,-0.001623,-0.001707,0.006541,0.007435
74.000000,17.000000,75.067070,16.986168,1.067070,-0.013831,-0.002779,-0.001730,0.006619,0.007819
77.000000,17.000000,78.040024,16.894186,1.040021,-0.105813,-0.003840,-0.003286,0.007094,0.007445
80.000000,17.000000,81.034325,16.747269,1.034327,-0.252731,-0.003749,-0.002305,0.006961,0.007158
83.000000,17.000000,84.026482,16.624945,1.026485,-0.375056,-0.003575,-0.002551,0.006426,0.006851
86.000000,17.000000,87.011475,16.502600,1.011478,-0.497399,-0.002569,-0.002982,0.006082,0.006680
89.000000,17.000000,90.026703,16.365828,1.026703,-0.634172,-0.002456,-0.002236,0.005838,0.006584
92.000000,17.000000,93.007370,16.245304,1.007369,-0.754696,-0.003071,-0.002174,0.007304,0.007189
95.000000,17.000000,96.006310,16.141336,1.006312,-0.858664,-0.001997,-0.003120,0.007910,0.007071
98.000000,17.000000,98.992264,16.047531,0.992266,-0.952469,-0.000765,-0.003700,0.008161,0.007006
101.000000,17.000000,101.989067,15.916251,0.989064,-1.083748,-0.000297,-0.002308,0.008818,0.007518
104.000000,17.000000,104.996346,15.828899,0.996343,-1.171100,-0.001020,-0.002844,0.009771,0.007400
107.000000,17.000000,107.989311,15.705076,0.989312,-1.294924,-0.002117,-0.001401,0.010987,0.006899
110.000000,17.000000,110.986839,15.623333,0.986842,-1.376667,-0.003889,-0.001560,0.011982,0.007168
113.000000,17.000000,113.965889,15.549237,0.965891,-1.450763,-0.004321,-0.001887,0.012600,0.007311
116.000000,17.000000,116.954224,15.445758,0.954223,-1.554242,-0.003244,-0.000221,0.014200,0.007326
119.000000,17.000000,119.945602,15.379283,0.945603,-1.620717,-0.002861,-0.000517,0.015709,0.007258
122.000000,17.000000,122.935532,15.311850,0.935535,-1.688150,-0.002503,-0.000574,0.016504,0.006769
125.000000,17.000000,125.916054,15.244728,0.916051,-1.755272,-0.000595,-0.000155,0.018287,0.006448
128.000000,17.000000,128.937408,15.189327,0.937404,-1.810673,0.000555,-0.000056,0.019214,0.006628
131.000000,17.000000,131.930084,15.149539,0.930081,-1.850461,-0.000393,-0.000673,0.020369,0.006533
134.000000,17.000000,134.929398,15.100627,0.929394,-1.899373,-0.001343,-0.000757,0.021098,0.006162
