x,y,u_displacement,v_displacement
152,38,2.06129,-1.9934
155,38,2.05157,-1.96528
158,38,2.04261,-1.94934
161,38,2.06016,-1.91124
164,38,2.05894,-1.89992
167,38,2.08648,-1.85209
170,38,2.07113,-1.80869
173,38,2.07287,-1.76396
176,38,2.07336,-1.65685
179,38,2.07778,-1.60017
182,38,2.0883,-1.50065
185,38,2.07818,-1.4142
188,38,2.07874,-1.33402
191,38,2.09155,-1.2444
194,38,2.08168,-1.13711
197,38,2.09264,-1.03409
200,38,2.10873,-0.919542
203,38,2.11279,-0.786012
206,38,2.11772,-0.682632
209,38,2.10791,-0.575908
212,38,2.13772,-0.45088
215,38,2.13796,-0.347527
218,38,2.15995,-0.204528
221,38,2.16119,-0.0725272
224,38,2.19387,0.0418785
227,38,2.18041,0.1776
230,38,2.17812,0.299553
233,38,2.17198,0.426071
236,38,2.17461,0.545479
239,38,2.18988,0.667419
242,38,2.18849,0.786986
245,38,2.19131,0.88813
248,38,2.19969,1.00536
251,38,2.20597,1.11724
254,38,2.21489,1.23419
257,38,2.20432,1.31585
260,38,2.19369,1.39237
263,38,2.21582,1.48088
266,38,2.20095,1.55107
269,38,2.2239,1.63402
272,38,2.23818,1.69235
275,38,2.22673,1.75185
278,38,2.21638,1.82394
281,38,2.22362,1.87694
284,38,2.21213,1.91654
14,41,2.36181,1.89261
17,41,2.3388,1.83606
20,41,2.34032,1.78138
23,41,2.35572,1.72349
26,41,2.33553,1.64999
29,41,2.3517,1.60137
32,41,2.33549,1.53507
35,41,2.33032,1.42733
38,41,2.31843,1.34011
41,41,2.34653,1.23348
44,41,2.31684,1.12096
47,41,2.32506,1.02328
50,41,2.32632,0.907791
53,41,2.315,0.784716
56,41,2.29675,0.684864
59,41,2.30608,0.570757
62,41,2.28877,0.444149
65,41,2.2778,0.315707
68,41,2.2894,0.18273
71,41,2.28785,0.088176
74,41,2.27764,-0.0400168
77,41,2.27069,-0.161631
80,41,2.27555,-0.291947
83,41,2.24678,-0.419157
86,41,2.24526,-0.539443
89,41,2.24106,-0.661805
92,41,2.24526,-0.787071
95,41,2.22335,-0.908156
98,41,2.23018,-0.970884
101,41,2.23323,-1.08639
104,41,2.22681,-1.19422
107,41,2.24266,-1.31453
110,41,2.21629,-1.39123
113,41,2.20452,-1.48732
116,41,2.20831,-1.5772
119,41,2.20183,-1.64096
122,41,2.19129,-1.72863
125,41,2.19215,-1.79083
128,41,2.18586,-1.82619
131,41,2.18988,-1.85911
134,41,2.19409,-1.91981
137,41,2.19227,-1.94793
140,41,2.18467,-1.98438
143,41,2.18852,-2.00132
146,41,2.18777,-2.00138
149,41,2.19108,-2.00974
152,41,2.19466,-1.97547
155,41,2.18109,-1.97341
158,41,2.16549,-1.94365
161,41,2.19119,-1.92036
164,41,2.19833,-1.89125
167,41,2.20452,-1.85125
170,41,2.20749,-1.78938
173,41,2.21589,-1.74531
176,41,2.21427,-1.65091
179,41,2.21587,-1.58647
182,41,2.2205,-1.49875
185,41,2.22352,-1.40076
188,41,2.21589,-1.30599
191,41,2.22303,-1.20554
194,41,2.20899,-1.11407
197,41,2.22176,-1.0161
200,41,2.22912,-0.906979
203,41,2.23447,-0.805227
