left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
120.000000,15.000000,121.233246,13.432649,1.233249,-1.567351,NaN,NaN,NaN,0.007077
123.000000,15.000000,124.228119,13.558243,1.228118,-1.441758,NaN,NaN,NaN,0.006854
126.000000,15.000000,127.264786,13.695879,1.264785,-1.304121,NaN,NaN,NaN,0.006482
129.000000,15.000000,130.263046,13.842237,1.263048,-1.157763,NaN,NaN,NaN,0.006578
132.000000,15.000000,133.306030,13.985134,1.306037,-1.014865,NaN,NaN,NaN,0.007371
135.000000,15.000000,136.276413,14.183872,1.276415,-0.816128,NaN,NaN,NaN,0.007478
138.000000,15.000000,139.293060,14.363158,1.293053,-0.636842,NaN,NaN,NaN,0.006424
141.000000,15.000000,142.298172,14.475106,1.298177,-0.524894,NaN,NaN,NaN,0.006844
144.000000,15.000000,145.370407,14.597248,1.370409,-0.402752,NaN,NaN,NaN,0.007476
147.000000,15.000000,148.430328,14.750917,1.430328,-0.249083,NaN,NaN,NaN,0.007717
150.000000,15.000000,151.477142,14.730378,1.477144,-0.269622,NaN,NaN,NaN,0.006337
153.000000,15.000000,154.458679,14.911253,1.458683,-0.088747,NaN,NaN,NaN,0.009309
156.000000,15.000000,157.759018,15.130536,1.759016,0.130536,NaN,NaN,NaN,0.010868
159.000000,15.000000,160.410599,15.498630,1.410599,0.498630,NaN,NaN,NaN,0.008447
162.000000,15.000000,163.224426,15.759446,1.224421,0.759446,NaN,NaN,NaN,0.007083
165.000000,15.000000,166.289597,15.930410,1.289594,0.930411,NaN,NaN,NaN,0.008399
168.000000,15.000000,169.351532,16.122288,1.351538,1.122288,NaN,NaN,NaN,0.009517
171.000000,15.000000,172.412796,16.227510,1.412795,1.227511,NaN,NaN,NaN,0.010948
174.000000,15.000000,175.426926,16.320581,1.426932,1.320581,NaN,NaN,NaN,0.011894
177.000000,15.000000,178.420639,16.514397,1.420643,1.514396,NaN,NaN,NaN,0.012494
180.000000,15.000000,181.446564,16.618490,1.446558,1.618491,NaN,NaN,NaN,0.017050
183.000000,15.000000,184.477692,16.732389,1.477695,1.732389,NaN,NaN,NaN,0.015029
186.000000,15.000000,187.529587,16.864220,1.529592,1.864219,NaN,NaN,NaN,0.008376
12.000000,18.000000,13.759730,19.771633,1.759731,1.771633,NaN,NaN,NaN,0.008723
15.000000,18.000000,16.765715,19.654013,1.765714,1.654012,NaN,NaN,NaN,0.011080
18.000000,18.000000,19.807728,19.566839,1.807729,1.566839,NaN,NaN,NaN,0.014289
21.000000,18.000000,22.766310,19.501934,1.766309,1.501933,NaN,NaN,NaN,0.010974
24.000000,18.000000,25.681919,19.410353,1.681918,1.410353,NaN,NaN,NaN,0.011577
27.000000,18.000000,28.679934,19.249321,1.679934,1.249321,NaN,NaN,NaN,0.011890
30.000000,18.000000,31.651417,19.070110,1.651417,1.070111,NaN,NaN,NaN,0.010563
33.000000,18.000000,34.697002,18.896267,1.697004,0.896267,NaN,NaN,NaN,0.008521
